,ChannelBandwidth,Freq,RSSI,channel_utilisation,count,distance,rxbytes,rxpackets,txbytes,txpackets,Score
1091,2,5785,-93,0.0,0,184.16056416033925,1558771818,1584766,198397002,811555,39.39
1097,1,2422,-77,4.166666666666666,0,69.714940523813,1558771922,1584768,198397002,811555,34.83
1099,0,2437,-68,5.555555555555555,0,24.58354282360909,1558771922,1584768,198397002,811555,36.99
1105,0,2437,-64,6.944444444444445,0,15.511166897899503,1558771922,1584768,198397002,811555,38.63
1109,2,5260,-74,41.66666666666667,0,22.725542313188537,1558834598,1584912,198431456,811660,14.82
1112,0,2462,-74,4.166666666666666,0,48.552539629314296,1558834598,1584912,198431456,811660,34.92
1113,2,5785,-93,0.0,0,184.16056416033925,1558834598,1584912,198431456,811660,39.39
1114,0,2422,-86,1.3888888888888888,0,196.4833984264312,1558834598,1584912,198431456,811660,34.84
1115,0,2462,-86,1.3888888888888888,0,193.29114175012865,1558834702,1584914,198431456,811660,34.82
1121,0,2437,-68,5.555555555555555,0,24.58354282360909,1558834702,1584915,198432106,811662,36.99
1131,1,2422,-63,6.944444444444445,0,13.909959361746088,1558881296,1585014,198460251,811724,40.31
1132,0,2462,-77,4.166666666666666,0,68.58228511319061,1558881296,1585014,198460251,811724,33.85
1138,2,5220,-83,27.77777777777778,0,64.5400796439638,1558881400,1585016,198460251,811724,20.78
1140,1,2422,-63,6.944444444444445,0,13.909959361746088,1559460732,1586184,198683271,812806,40.31
1141,0,2462,-77,4.166666666666666,0,68.58228511319061,1559472012,1586190,198683323,812807,33.85
1149,0,2447,-50,9.722222222222223,1,3.082237007959015,70618,132,49101,149,39.63
1153,1,2422,-63,6.944444444444445,0,13.909959361746088,1564508765,1593431,199890912,818567,40.32
1184,0,2412,-93,0.0,0,441.69521710927154,466750600,400532,32566103,208875,37.59
1187,1,5745,-80,55.55555555555556,0,41.51547076527597,1987410587,2082299,303199068,1211696,3.27
1189,0,2412,-61,6.944444444444445,0,11.09488222719457,1987410647,2082300,303200077,1211700,41.13
1190,0,2472,-64,6.944444444444445,0,15.291550861723737,1987410647,2082300,303200077,1211700,39.03
1191,0,2472,-65,6.944444444444445,0,17.157402261751123,1987410647,2082300,303200077,1211700,38.35
1192,0,2412,-75,4.166666666666666,0,55.60613330868036,1987410647,2082301,303200117,1211702,34.87
1194,0,2437,-52,8.333333333333332,0,3.896228966771431,1987410699,2082301,303200674,1211702,47.94
1195,0,2412,-61,6.944444444444445,0,11.09488222719457,1987410699,2082301,303200674,1211702,41.13
1198,1,5180,-55,166.66666666666669,0,2.589227674527742,1987410699,2082301,303200674,1211702,-54.05
1208,0,2472,-68,5.555555555555555,0,24.235474862918817,1987469492,2082437,303248663,1211891,37.39
1212,1,5180,-61,138.88888888888889,0,5.166188403859711,1987469492,2082437,303248964,1211892,-40.98
1213,0,2437,-55,8.333333333333332,0,5.503569698011368,1987469492,2082437,303248964,1211892,45.18
1218,1,5785,-78,83.33333333333334,0,32.74889393874833,1987469492,2082437,303249060,1211893,-14.08
1220,1,5180,-55,166.66666666666669,0,2.589227674527742,1988127402,2083472,303753644,1213483,-54.05
1221,1,5745,-74,83.33333333333334,0,20.807023945582564,1988127462,2083473,303754265,1213485,-12.44
1223,2,5180,-64,69.44444444444444,0,7.297435083046543,1988127462,2083473,303754265,1213485,2.95
1230,0,2472,-63,6.944444444444445,0,13.628609051031162,1988127462,2083473,303754265,1213485,39.72
1237,2,5745,-73,41.66666666666667,0,18.544279611271765,1989202093,2085818,304611120,1216422,16.13
1240,0,2462,-69,5.555555555555555,0,27.30309947650554,1989202093,2085818,304611120,1216422,36.81
1241,0,2452,-45,9.722222222222223,0,1.7297348446594123,1989202093,2085818,304611120,1216422,54.22
1242,0,2452,-45,9.722222222222223,0,1.7297348446594123,1989202218,2085819,304611172,1216423,54.22
1243,1,5180,-52,166.66666666666669,0,1.8330328169926595,1989202278,2085820,304611172,1216423,-51.27
1247,0,2452,-45,9.722222222222223,0,1.7297348446594123,1989202516,2085823,304611741,1216424,54.22
1250,1,5180,-51,166.66666666666669,0,1.63369221777465,1989202691,2085823,304611741,1216424,-50.31
1258,2,5180,-62,69.44444444444444,0,5.7965587275314,1989205871,2085828,304611897,1216427,4.4
1260,2,5745,-73,41.66666666666667,0,18.544279611271765,1989205871,2085828,304611897,1216427,16.13
1261,0,2452,-44,9.722222222222223,0,1.54162780302533,1989205871,2085828,304611897,1216427,55.33
1262,0,2412,-62,6.944444444444445,0,12.448662607219172,1989205871,2085828,304611897,1216427,40.39
1263,0,2462,-69,5.555555555555555,0,27.30309947650554,1989205871,2085828,304611897,1216427,36.81
1266,0,2452,-45,9.722222222222223,0,1.7297348446594123,1989205871,2085828,304611897,1216427,54.22
1268,0,2437,-57,8.333333333333332,0,6.928583748406862,1989205871,2085828,304611897,1216427,43.45
1276,0,2437,-81,2.7777777777777777,0,109.81065216246742,3067640746,2751557,254464041,985586,34.33
1294,0,2412,-81,2.7777777777777777,0,110.9488222719457,2010603856,2105852,310896339,1230748,34.26
1304,0,2437,-49,9.722222222222223,5,2.7583188720212,2010624076,2105897,310916559,1230793,55.0
1305,1,2412,-74,4.166666666666666,0,49.55901847735148,2010624076,2105897,310916559,1230793,36.27
1307,0,2437,-49,9.722222222222223,5,2.7583188720212,2010624184,2105898,310916667,1230794,55.0
1312,0,2437,-41,9.722222222222223,5,1.098106521624674,2010626256,2105900,310918863,1230797,63.77
1313,0,2437,-41,9.722222222222223,5,1.098106521624674,2010631884,2105913,310924367,1230809,63.77
1328,2,5220,-88,13.88888888888889,0,114.77029475313304,1662600179,1708545,221800543,892404,29.46
1330,1,2432,-65,6.944444444444445,0,17.439596377898376,1662600179,1708545,221800641,892404,39.05
1338,2,5745,-73,41.66666666666667,0,18.544279611271765,1662600472,1708547,221800641,892404,15.85
1349,1,2462,-72,5.555555555555555,0,38.56665309513396,1662617061,1708571,221803917,892426,35.99
1359,2,5785,-87,13.88888888888889,0,92.29892369475822,1663828294,1710085,221966192,893413,29.82
1383,2,5200,-82,27.77777777777778,0,57.74264270887055,1663873504,1710179,221992874,893469,21.07
1386,2,5805,-90,13.88888888888889,0,129.9265109125875,1663873504,1710179,221992874,893469,29.91
1399,1,2472,-71,5.555555555555555,0,34.23351815563384,1663873556,1710180,221992874,893469,36.49
1401,0,2447,-69,5.555555555555555,0,27.470466248940205,1663874447,1710182,221993471,893470,36.52
1406,2,5180,-96,0.0,0,290.51612332094834,1663875380,1710182,221994075,893471,40.68
1407,1,2462,-70,5.555555555555555,0,30.634581472281496,1663875380,1710182,221994075,893471,36.99
1409,0,2412,-79,2.7777777777777777,0,88.12978214001267,1663875380,1710182,221994075,893471,34.31
1412,1,2472,-96,0.0,0,608.7676046935729,1663980530,1710401,222056040,893616,43.34
1423,0,2447,-66,5.555555555555555,0,19.447600776003963,1663980694,1710404,222056040,893616,38.31
1427,0,2437,-64,6.944444444444445,0,15.511166897899503,1663981621,1710405,222056689,893618,38.72
1438,1,2472,-70,5.555555555555555,0,30.510655171827267,1664013918,1710482,222077197,893662,37.0
1440,0,2447,-66,5.555555555555555,0,19.447600776003963,1664013918,1710482,222077197,893662,38.31
1442,0,2412,-85,1.3888888888888888,0,175.8420331303846,1664013918,1710482,222077197,893662,34.81
1444,0,2437,-64,6.944444444444445,0,15.511166897899503,1664013918,1710482,222077197,893662,38.72
1455,0,2437,-78,4.166666666666666,0,77.7399882788917,1677789545,1723750,223275736,898606,33.66
1474,2,5220,-92,0.0,0,181.89865885099587,1677796229,1723765,223278452,898625,39.04
1475,2,5180,-90,13.88888888888889,0,145.60297217134564,1677796229,1723765,223278452,898625,29.6
1478,1,2462,-95,0.0,0,544.7684546731808,1677796281,1723766,223279053,898626,42.14
1487,0,2422,-96,0.0,0,621.3350614378663,1677838392,1723857,223298665,898706,42.55
1494,0,2462,-70,5.555555555555555,0,30.634581472281496,1677838392,1723857,223298665,898706,36.0
1500,2,5180,-78,41.66666666666667,0,36.57381301846701,1677838392,1723857,223298665,898706,13.21
1501,2,5180,-90,13.88888888888889,0,145.60297217134564,1677838392,1723857,223298665,898706,29.6
1508,2,5240,-84,27.77777777777778,0,72.13876666065099,1677838392,1723857,223298665,898706,20.72
1509,1,2462,-93,0.0,0,432.7249649340224,1677838392,1723857,223298665,898706,40.14
1510,0,2462,-70,5.555555555555555,0,30.634581472281496,1677838392,1723857,223298665,898706,36.0
1514,0,2452,-93,0.0,0,434.4897486409309,1677838392,1723857,223298665,898706,39.17
1516,0,2422,-96,0.0,0,621.3350614378663,1677866031,1723929,223314717,898759,42.55
1519,0,2417,-89,1.3888888888888888,0,278.11431903664334,1677866031,1723929,223314717,898759,35.82
1521,0,2462,-94,0.0,0,485.5253962931429,1677866031,1723929,223314717,898759,40.07
1527,0,2412,-83,2.7777777777777777,0,139.67629176678713,1677866922,1723930,223315327,898760,33.83
1528,1,2412,-93,0.0,0,441.69521710927154,1677866922,1723930,223315327,898760,40.27
1544,1,5180,-93,0.0,0,205.66966480068777,1678278051,1724713,223488705,899394,38.32
1545,0,2412,-75,4.166666666666666,0,55.60613330868036,1678278149,1724714,223488777,899395,34.6
1548,2,5180,-85,13.88888888888889,0,81.87856832248804,1678278149,1724714,223488777,899395,29.58
1552,0,2412,-78,4.166666666666666,0,78.54575100980888,1678278149,1724714,223488777,899395,33.65
1553,2,5180,-94,0.0,0,230.76515939647047,1678278149,1724714,223488777,899396,39.69
1554,0,2437,-67,5.555555555555555,0,21.910105604192708,1678278149,1724714,223488837,899396,37.69
1561,0,2412,-68,5.555555555555555,0,24.838347371946657,1678278209,1724715,223489001,899399,37.08
1563,0,2452,-84,2.7777777777777777,0,154.16278030253292,1678278269,1724716,223489001,899399,33.83
1569,1,5180,-90,27.77777777777778,0,145.60297217134564,1678335822,1724859,223523905,899518,19.57
1571,0,2452,-72,5.555555555555555,0,38.72393960857249,1678335822,1724860,223524513,899518,34.99
1578,2,5260,-90,13.88888888888889,0,143.38847829801702,1678335926,1724861,223524513,899518,29.64
1581,2,5180,-88,13.88888888888889,0,115.65655185547364,1678335926,1724861,223524513,899518,29.44
1588,2,5180,-82,27.77777777777778,0,57.965587275314,1678336857,1724862,223525176,899520,21.06
1597,2,5785,-89,13.88888888888889,0,116.19746052058186,1678394851,1724980,223558051,899585,29.83
1602,2,5785,-74,41.66666666666667,0,20.66315515425613,1678394851,1724980,223558667,899586,15.41
1605,2,5180,-76,41.66666666666667,0,29.051612332094837,1678394903,1724982,223558667,899586,13.98
1606,0,2412,-77,4.166666666666666,0,70.00397427391175,1678395794,1724982,223559246,899587,33.93
1612,2,5220,-87,13.88888888888889,0,102.28913286861624,1678395846,1724983,223559246,899587,29.47
1622,1,2462,-72,5.555555555555555,0,38.56665309513396,1678468943,1725124,223594890,899691,36.0
1625,0,2437,-74,4.166666666666666,0,49.05061656437086,1678468943,1725124,223594890,899691,35.01
1626,2,5745,-79,27.77777777777778,0,37.0007022666163,1678468943,1725124,223594890,899691,22.38
1630,2,5180,-83,27.77777777777778,0,65.03845863735337,1678468995,1725126,223594890,899691,20.85
1646,0,2462,-65,6.944444444444445,0,17.22709114177449,1678656958,1725427,223651622,899922,38.08
1647,1,5180,-94,0.0,0,230.76515939647047,1678656958,1725427,223651622,899923,38.69
1652,0,2412,-62,6.944444444444445,0,12.448662607219172,1678656958,1725427,223652289,899924,40.13
1653,1,2412,-93,0.0,0,441.69521710927154,1678656958,1725427,223652289,899924,40.27
1656,2,5240,-85,13.88888888888889,0,80.94102746383363,1678657010,1725428,223652892,899925,29.62
1668,2,5220,-85,13.88888888888889,0,81.25114634300544,1678658045,1725431,223653552,899927,29.61
1669,0,2417,-81,2.7777777777777777,0,110.71930464209063,1678658045,1725431,223653552,899927,33.97
1670,1,2462,-71,5.555555555555555,0,34.372565751716856,1678658045,1725431,223653552,899927,36.49
1671,0,2462,-65,6.944444444444445,0,17.22709114177449,1678658045,1725431,223653552,899927,38.08
