ChannelBandwidth,Freq,Level,RSSI,SSID,Secured,_id,channel_utilisation,count,distance,rxbytes,rxpackets,txbytes,txpackets
0,2437,2,-81,,2,646f8993942c10e24aa1a783,2.7777777777777777,0,109.81065216246742,229721722,339062,50583363,227103
1,2417,2,-84,Krishna_ACT,2,646f8994942c10e24aa1a784,2.7777777777777777,0,156.39517472147756,229721722,339062,50583363,227103
0,2462,5,-60,TP-LINK_5D62,2,646f8994942c10e24aa1a785,6.944444444444445,0,9.687505261840391,229721722,339062,50583363,227103
2,5180,2,-78,TP-LINK_5D62_5G,2,646f8994942c10e24aa1a786,41.66666666666667,0,36.57381301846701,229721722,339062,50583363,227103
2,5805,1,-86,Rachel_5GHz,2,646f8995942c10e24aa1a787,13.88888888888889,0,81.97808630298307,229721722,339062,50583363,227103
0,2412,2,-78,Appy24,2,646f8995942c10e24aa1a788,4.166666666666666,0,78.54575100980888,229721722,339062,50583363,227103
2,5180,2,-81,Aishchat_5G,2,646f8995942c10e24aa1a789,27.77777777777778,0,51.661884038597094,229721722,339062,50583363,227103
0,2462,2,-82,airteL_EXT,2,646f8996942c10e24aa1a78a,2.7777777777777777,0,121.95846551020573,229721722,339062,50583363,227103
2,5785,1,-88,RLC2_5GHz,2,646f8996942c10e24aa1a78b,13.88888888888889,0,103.56109569772748,229721722,339062,50583363,227103
0,2427,2,-79,ACT-E-916,2,646f8997942c10e24aa1a78c,2.7777777777777777,0,87.58509869044529,229721722,339062,50583363,227103
1,2457,2,-79,JINGADE,2,646f8997942c10e24aa1a78d,2.7777777777777777,0,86.51568356601979,229721722,339062,50583363,227103
2,5785,1,-89,,2,646f8997942c10e24aa1a78e,13.88888888888889,0,116.19746052058186,229721722,339062,50583363,227103
2,5805,1,-87,,2,646f8998942c10e24aa1a78f,13.88888888888889,0,91.98092568030604,229721722,339062,50583363,227103
0,2462,2,-82,airteL_x,2,646f8998942c10e24aa1a790,2.7777777777777777,0,121.95846551020573,229721722,339062,50583363,227103
1,2432,3,-77,SKS Cottage,2,646f8999942c10e24aa1a791,4.166666666666666,0,69.42828369600139,229721722,339062,50583363,227103
0,2422,6,-53,SKS Cottage,2,646f8999942c10e24aa1a792,8.333333333333332,0,4.398715374349966,229721722,339062,50583363,227103
0,2432,5,-61,SKS Cottage,2,646f8999942c10e24aa1a793,6.944444444444445,0,11.003641419405156,229721722,339062,50583363,227103
2,5200,4,-69,SKS Cottage 5G,2,646f899a942c10e24aa1a794,55.55555555555556,3,12.926967482914755,229721722,339062,50583363,227103
2,5220,5,-61,SKS Cottage 5G,2,646f899a942c10e24aa1a795,69.44444444444444,3,5.1266007532554285,229721722,339062,50583363,227103
